Timestamp,Namespace,Pod,Container,CPU (millicores),Memory (MB)
2024-11-23T18:37:12.405657,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.18847,97.82421875
2024-11-23T18:37:12.405799,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.626473,36.7265625
2024-11-23T18:37:12.405897,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.89374,10.93359375
2024-11-23T18:37:12.405982,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,1.042148,54.23828125
2024-11-23T18:37:12.406063,argocd,argocd-server-858f464b75-j92hs,server,0.244763,43.69921875
2024-11-23T18:37:27.501872,argocd,argocd-application-controller-0,application-controller,3.335599,151.8203125
2024-11-23T18:37:27.503130,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.233593,43.109375
2024-11-23T18:37:27.503648,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.037725,97.82421875
2024-11-23T18:37:27.503840,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.067625,36.7265625
2024-11-23T18:37:27.504010,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.914424,10.93359375
2024-11-23T18:37:27.504457,argocd,argocd-repo-server-767cbc7fdb-cdgf7,repo-server,0.502182,54.48828125
2024-11-23T18:37:27.504606,argocd,argocd-server-858f464b75-j92hs,server,0.244763,43.69921875
2024-11-23T18:37:42.610145,argocd,argocd-application-controller-0,application-controller,2.919352,151.8203125
2024-11-23T18:37:42.610898,argocd,argocd-applicationset-controller-74947d8b5d-rbl48,applicationset-controller,0.262302,43.359375
2024-11-23T18:37:42.611119,argocd,argocd-dex-server-5fcbfd4684-4ksmf,dex-server,0.107762,97.82421875
2024-11-23T18:37:42.611286,argocd,argocd-notifications-controller-5f75c4656d-l55ml,notifications-controller,0.076817,36.7265625
2024-11-23T18:37:42.611398,argocd,argocd-redis-7855f78d87-9vqnb,redis,0.935594,11.18359375
