{'Timestamp': '2024-11-22T21:34:25.457386', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.739646, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:34:55.518557', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.700434, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:34:55.518959', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.681142, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:34:55.519071', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.686932, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:35:25.573460', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.734957, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:35:25.573868', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.741759, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:35:25.573966', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.739381, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:36:03.952902', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.748993, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:36:03.953015', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.713258, 'Memory (MB)': 215.515625}
{'Timestamp': '2024-11-22T21:36:03.953049', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.705903, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:36:39.036911', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.721275, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:36:39.037421', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.843994, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:36:39.037483', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.828617, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:37:09.083515', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.935981, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:37:09.083850', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.81896, 'Memory (MB)': 215.515625}
{'Timestamp': '2024-11-22T21:37:09.083922', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.780393, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:37:39.190824', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.870078, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:37:39.193776', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.826228, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:37:39.194658', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.844504, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:38:09.254041', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.877612, 'Memory (MB)': 328.16015625}
{'Timestamp': '2024-11-22T21:38:09.254541', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.849421, 'Memory (MB)': 215.515625}
{'Timestamp': '2024-11-22T21:38:09.254616', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.89923, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:38:39.312604', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.846321, 'Memory (MB)': 328.16796875}
{'Timestamp': '2024-11-22T21:38:39.312982', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.814768, 'Memory (MB)': 215.5234375}
{'Timestamp': '2024-11-22T21:38:39.313056', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.828764, 'Memory (MB)': 201.5234375}
{'Timestamp': '2024-11-22T21:39:09.374095', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.848852, 'Memory (MB)': 328.1640625}
{'Timestamp': '2024-11-22T21:39:09.374427', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-0', 'Container': 'spark-worker', 'CPU (millicores)': 0.801671, 'Memory (MB)': 215.51953125}
{'Timestamp': '2024-11-22T21:39:09.374498', 'Namespace': 'default', 'Pod': 'spark-1731784973-worker-1', 'Container': 'spark-worker', 'CPU (millicores)': 0.764048, 'Memory (MB)': 201.51953125}
{'Timestamp': '2024-11-22T21:39:39.437952', 'Namespace': 'default', 'Pod': 'spark-1731784973-master-0', 'Container': 'spark-master', 'CPU (millicores)': 0.730281, 'Memory (MB)': 328.1640625}
